Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Intestinal absorption (human),Skin Permeability,P-glycoprotein substrate,P-glycoprotein I inhibitor,P-glycoprotein II inhibitor,VDss (human),Fraction unbound (human),BBB permeability,CNS permeability,CYP2D6 substrate,CYP3A4 substrate,CYP1A2 inhibitior,CYP2C19 inhibitior,CYP2C9 inhibitior,CYP2D6 inhibitior,CYP3A4 inhibitior,Total Clearance,Renal OCT2 substrate,AMES toxicity,Max. tolerated dose (human),hERG I inhibitor,hERG II inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,<i>T.Pyriformis</i> toxicity,Minnow toxicity,Volume,GPCR Ligand,Ion channel modulator,Kinase inhibitor,Nuclear receptor ligand,Protease inhibidor,Enzyme inhibidor
0.8240,5.3900,3.1067,-3.1067,1.0571,4.5650,0.2191,-5.3900,-0.8240,2.3244,1.0754,3.3998,3.4025,1143.2900,-4.0600,33.0000,16.0000,15.0000,4626.8000,-2.8920,-1.0490,0.0000,-2.7350,No,No,No,-0.1660,0.2560,-2.6300,-6.0180,No,No,No,No,No,No,No,0.2360,No,No,0.4390,No,No,2.4830,6.9640,Yes,No,0.2850,9.8180,974.7300,0.3380,0.0720,-0.0240,0.0100,0.4850,0.3410
1.7330,6.2400,3.9860,-3.9860,1.7630,4.5070,0.2219,-6.2400,-1.7330,5.8000,1.8140,7.6140,2.5525,473.6600,4.4300,11.0000,7.0000,3.0000,98.7300,-3.3830,0.3810,47.8470,-2.7330,Yes,No,No,-0.6830,0.4910,-0.5550,-2.7660,No,Yes,No,No,No,No,No,-0.4420,No,No,-0.0380,No,No,2.4810,1.2560,Yes,No,0.2860,3.3410,479.9400,0.4300,0.1500,-0.1200,0.1900,0.6800,0.4200
2.8380,7.0510,4.9450,-4.9450,2.9020,4.2120,0.2374,-7.0510,-2.8380,8.5400,3.5950,12.1350,1.7415,392.4600,-1.1062,11.0000,5.0000,7.0000,163.1040,-2.8640,-0.5370,11.6040,-2.7350,Yes,No,No,-1.0520,0.5220,-1.4890,-4.3040,No,No,No,No,No,No,No,0.6970,No,No,0.8530,No,No,2.4510,3.4990,Yes,No,0.2850,3.5760,365.3500,0.4200,0.2400,0.0800,0.0800,0.6400,0.4700
3.2850,6.2230,4.7540,-4.7540,3.8460,2.9380,0.3404,-6.2230,-3.2850,10.2520,5.4980,15.7500,2.5695,399.4470,0.5788,9.0000,5.0000,5.0000,168.2860,-2.8880,-0.4540,34.8390,-2.7350,Yes,No,No,-1.2990,0.3810,-0.9940,-3.4160,No,No,No,No,No,No,No,0.8830,No,No,0.6300,No,No,2.2080,3.1010,Yes,No,0.2850,3.9360,365.1800,0.3500,0.1800,0.1000,0.1700,0.6700,0.3800
1.7530,6.2540,4.0030,-4.0030,1.7800,4.5010,0.2222,-6.2540,-1.7530,5.8440,1.8400,7.6840,2.5385,427.5010,1.2149,10.0000,5.0000,5.0000,181.0160,-2.9220,-0.4150,35.8990,-2.7350,Yes,No,No,-1.1710,0.3380,-0.9880,-3.3540,No,No,No,No,No,No,No,0.7120,No,No,0.5250,No,No,2.2800,3.1970,Yes,No,0.2850,3.3380,398.5700,0.3200,0.1500,0.0700,0.1500,0.6700,0.3600
1.7330,5.6340,3.6830,-3.6830,1.7390,3.9010,0.2563,-5.6340,-1.7330,5.5630,1.8800,7.4430,3.1585,454.5520,1.2644,10.0000,5.0000,6.0000,190.5370,-3.0240,-0.4420,32.8860,-2.7350,Yes,No,No,-1.0560,0.1860,-0.8320,-3.4040,Yes,Yes,No,No,No,No,No,1.0630,No,No,0.4130,No,No,2.2860,3.4830,Yes,No,0.2850,0.5340,404.0400,0.4300,0.2900,0.0900,0.0700,1.0900,0.5100
3.1840,5.6340,4.4090,-4.4090,3.9680,2.4500,0.4082,-5.6340,-3.1840,10.2940,5.8850,16.1790,3.1585,514.5820,2.2829,11.0000,5.0000,6.0000,219.2340,-3.0210,-0.5620,41.6820,-2.7350,Yes,No,No,-1.3600,0.0000,-0.7870,-3.1410,No,No,No,No,No,No,No,0.9600,No,No,0.5910,No,No,2.3430,3.4890,Yes,No,0.2850,2.0680,465.8100,0.3900,0.2100,0.0700,0.1100,0.7800,0.3500
1.7000,6.0720,3.8860,-3.8860,1.7270,4.3720,0.2287,-6.0720,-1.7000,5.6700,1.7840,7.4540,2.7205,866.9480,-5.0045,8.0000,14.0000,12.0000,344.6800,-2.7790,-0.4080,0.0000,-2.7350,Yes,Yes,No,-0.9250,0.4080,-1.6300,-5.9520,No,No,No,No,No,No,No,0.0750,No,No,0.5390,No,No,2.4520,3.6330,Yes,No,0.2850,13.2690,751.1000,0.3590,-0.0410,-0.0200,0.0180,0.5470,0.3160
1.4670,5.9290,3.6980,-3.6980,1.5330,4.4620,0.2241,-5.9290,-1.4670,5.1930,1.4950,6.6880,2.8635,880.9750,-5.5148,9.0000,14.0000,13.0000,352.5880,-2.8550,0.9650,0.0000,-2.7350,Yes,No,No,-0.6940,0.3720,-1.1720,-5.4820,No,No,No,No,No,No,No,0.5600,No,No,0.3490,No,Yes,2.4850,6.2390,Yes,No,0.2850,19.6310,770.1900,0.4150,0.0570,0.1830,0.0000,0.5330,0.4200
1.2280,5.6810,3.4540,-3.4540,1.3400,4.4530,0.2246,-5.6810,-1.2280,4.6850,1.2310,5.9160,3.1115,896.9740,-6.5424,10.0000,15.0000,14.0000,357.3820,-2.8680,0.2700,0.0000,-2.7350,Yes,No,No,-0.7990,0.3410,-1.4060,-5.8500,No,No,No,No,No,No,No,0.6720,No,No,0.3770,No,Yes,2.4830,6.6250,No,No,0.2850,21.4550,778.4500,0.4060,0.0460,0.1780,-0.0150,0.5130,0.4070
