Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad
2.36,5.71,4.04,-4.04,2.43,3.35,0.298507463,-5.71,-2.36,7.09,3.05,10.14,3.0825
2.22,5.58,3.9,-3.9,2.27,3.36,0.297619048,-5.58,-2.22,6.69,2.79,9.48,3.2125
2.15,6.08,4.11,-4.11,2.15,3.93,0.254452926,-6.08,-2.15,6.61,2.49,9.1,2.7125
1.74,6.23,3.99,-3.99,1.77,4.49,0.222717149,-6.23,-1.74,5.82,1.83,7.65,2.5625
1.596,4.837,3.2161,-3.2161,1.5958,3.2409,0.308556265,-4.837,-1.596,5.0021,1.786,6.7881,3.9555
1.601,4.848,3.2243,-3.2243,1.6009,3.2469,0.307986079,-4.848,-1.601,5.0169,1.7926,6.8095,3.9445
1.603,4.842,3.2222,-3.2222,1.6028,3.239,0.308737265,-4.842,-1.603,5.0191,1.7969,6.816,3.9505
1.599,4.839,3.219,-3.219,1.5993,3.2395,0.308689613,-4.839,-1.599,5.0105,1.7915,6.802,3.9535
1.599,4.84,3.2192,-3.2192,1.599,3.2406,0.30858483,-4.84,-1.599,5.0102,1.7909,6.8011,3.9525
1.6,4.842,3.2209,-3.2209,1.6001,3.2417,0.308480118,-4.842,-1.6,5.0132,1.7924,6.8056,3.9505
1.604,4.849,3.2262,-3.2262,1.6039,3.2447,0.308194902,-4.849,-1.604,5.0237,1.7975,6.8212,3.9435
1.7,1.605,3.228,-3.228,1.6055,3.245,0.30816641,-1.605,-1.7,5.0278,1.7999,6.8277,7.1875
1.605,4.85,3.2277,-3.2277,1.6052,3.245,0.30816641,-4.85,-1.605,5.0271,1.7995,6.8266,3.9425
1.605,4.85,3.2277,-3.2277,1.6055,3.2449,0.308175907,-4.85,-1.605,5.0276,1.8,6.8276,3.9425
1.605,4.85,3.2274,-3.2274,1.6052,3.2444,0.3082234,-4.85,-1.605,5.027,1.7996,6.8266,3.9425
1.605,4.849,3.2273,-3.2273,1.6052,3.2441,0.308251903,-4.849,-1.605,5.0269,1.7996,6.8265,3.9435
1.552,4.831,3.1919,-3.1919,1.5536,3.279,0.304971028,-4.831,-1.552,4.908,1.7161,6.6241,3.9615
1.549,4.824,3.1863,-3.1863,1.5501,3.2749,0.305352835,-4.824,-1.549,4.898,1.7117,6.6097,3.9685
1.548,4.828,3.188,-3.188,1.5491,3.2803,0.304850166,-4.828,-1.548,4.8972,1.7092,6.6064,3.9645
1.549,4.824,3.1866,-3.1866,1.5506,3.2743,0.30540879,-4.824,-1.549,4.8991,1.7125,6.6116,3.9685
1.547,4.821,3.1843,-3.1843,1.5485,3.2741,0.305427446,-4.821,-1.547,4.8937,1.7094,6.6031,3.9715
1.546,4.822,3.1843,-3.1843,1.5477,3.2757,0.305278261,-4.822,-1.546,4.8923,1.708,6.6003,3.9705
1.546,4.822,3.1837,-3.1837,1.5469,3.2763,0.305222354,-4.822,-1.546,4.8905,1.7067,6.5972,3.9705
1.547,4.823,3.1847,-3.1847,1.548,3.276,0.305250305,-4.823,-1.547,4.893,1.7083,6.6013,3.9695
1.548,4.823,3.1854,-3.1854,1.5488,3.2757,0.305278261,-4.823,-1.548,4.8949,1.7096,6.6045,3.9695
1.548,4.824,3.1859,-3.1859,1.549,3.2763,0.305222354,-4.824,-1.548,4.8958,1.7099,6.6057,3.9685
1.544,4.822,3.1831,-3.1831,1.5456,3.2776,0.305101294,-4.822,-1.544,4.8876,1.7045,6.5921,3.9705
1.55,4.828,3.189,-3.189,1.5514,3.2776,0.305101294,-4.828,-1.55,4.9022,1.7132,6.6154,3.9645
1.706,4.859,3.2828,-3.2828,1.7091,3.1527,0.317188442,-4.859,-1.706,5.2567,1.9739,7.2306,3.9335
1.703,4.861,3.282,-3.282,1.7056,3.1576,0.316696225,-4.861,-1.703,5.2496,1.9676,7.2172,3.9315
1.708,4.86,3.284,-3.284,1.7111,3.1514,0.317319287,-4.86,-1.708,5.2612,1.9772,7.2384,3.9325
1.704,4.86,3.282,-3.282,1.7068,3.1554,0.316917031,-4.86,-1.704,5.2518,1.9698,7.2216,3.9325
1.702,4.851,3.2768,-3.2768,1.7049,3.1489,0.317571215,-4.851,-1.702,5.2451,1.9683,7.2134,3.9415
1.701,4.851,3.2758,-3.2758,1.7035,3.1497,0.317490555,-4.851,-1.701,5.2418,1.966,7.2078,3.9415
1.703,4.855,3.2787,-3.2787,1.7055,3.1516,0.31729915,-4.855,-1.703,5.2472,1.9685,7.2157,3.9375
1.703,4.854,3.2787,-3.2787,1.7057,3.1511,0.317349497,-4.854,-1.703,5.2478,1.9691,7.2169,3.9385
1.702,4.851,3.2764,-3.2764,1.7047,3.1486,0.317601474,-4.851,-1.702,5.2443,1.9679,7.2122,3.9415
1.702,4.854,3.2782,-3.2782,1.7046,3.1522,0.317238754,-4.854,-1.702,5.2453,1.9671,7.2124,3.9385
1.701,4.854,3.2772,-3.2772,1.7032,3.153,0.317158262,-4.854,-1.701,5.242,1.9648,7.2068,3.9385
1.702,4.854,3.2783,-3.2783,1.7049,3.1519,0.317268949,-4.854,-1.702,5.2459,1.9676,7.2135,3.9385
1.738,4.866,3.3018,-3.3018,1.7425,3.1282,0.319672655,-4.866,-1.738,5.3315,2.0297,7.3612,3.9265
1.738,4.862,3.3003,-3.3003,1.7432,3.1241,0.320092187,-4.862,-1.738,5.3319,2.0316,7.3635,3.9305
1.737,-4.868,3.3022,-3.3022,1.7416,3.1307,0.319417383,4.868,-1.737,5.33,2.0277,7.3577,13.6605
1.738,4.867,3.3024,-3.3024,1.7428,3.1288,0.319611353,-4.867,-1.738,5.3323,2.03,7.3623,3.9255
