ID,Afinidad electronica,Potencial de ionizacion,Electronegatividad,Potencial quimico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Absorción intestinal (humana),Permeabilidad de la piel,Sustrato de la glicoproteína P,Inhibidor de la P-glicoproteína I ,Inhibidor de la P-glicoproteína II,VDss (humano),Fracción no consolidada (humana),Permeabilidad BBB,Permeabilidad del SNC,Sustrato del CYP2D6,Sustrato del CYP3A4,Inhibidor de CYP1A2,Inhibidor de CYP2C19,Inhibidor de CYP2C9,Inhibidor de CYP2D6,Inhibidor de CYP3A4,Liquidación total,Sustrato renal de OCT2,Toxicidad AMES,Dosis máxima tolerada (humana),Inhibidor de hERG I,Inhibidor de hERG II,Toxicidad aguda oral en ratas (DL50),Toxicidad crónica oral en ratas (LOAEL),Hepatotoxicidad,Sensibilización cutánea,Toxicidad de T. Pyriformis,Toxicidad de los pececillos,Volumen, Ligando GPCR ,Modulador del canal iónico,Inhibidor de quinasa,Ligando del receptor nuclear,Inhibidor de proteasa,Inhibidor de enzima
23,0.763,6.082,3.4225,-3.4225,1.1011,5.319,0.188,-6.082,-0.763,0.8234,4.2459,5.0693,2.7105,1007.207,-3.6086,17,15,12,407.108,-2.886,0.986,0,-2.735,1,0,0,-0.478,0.415,-1.259,-5.174,0,1,0,0,0,0,0,-0.94,0,0,0.546,0,1,2.55,4.222,1,0,0.285,12.271,896.35,0.362,0.04,0.007,-0.025,0.568,0.256
24,0.815,6.13,3.4725,-3.4725,1.1344,5.315,0.1881,-6.13,-0.815,0.8647,4.3372,5.2018,2.6625,2140.492,-9.7336,38,32,27,865.687,-2.892,0.009,0,-2.735,1,0,1,-0.062,0.373,-2.864,-8.562,0,1,0,0,0,0,0,-3.262,0,0,0.438,0,1,2.482,8.885,1,0,0.285,27.319,947.3,0.407,0.11,0.059,0.007,0.55,0.272
25,1.25,5.96,3.6062,-3.6062,1.3829,4.7019,0.2127,-5.96,-1.25,1.2511,4.8561,6.1072,2.8325,2000.348,-15.58819,76,32,38,810.709,-2.892,-2.005,0,-2.735,1,0,0,0.011,0.381,-7.089,-12.271,0,1,0,0,0,0,0,-0.519,0,0,0.438,0,0,2.482,9.238,0,0,0.285,30.184,1694.9487,-4.08,-4.1,-4.12,-4.13,-4.05,-4.08
26,1.11,5.62,3.3656,-3.3656,1.2577,4.5032,0.2221,-5.62,-1.11,1.1101,4.4751,5.5851,3.1725,2000.348,-15.58819,76,32,38,810.709,-2.892,-2.005,0,-2.735,1,0,0,0.011,0.381,-7.089,-12.271,0,1,0,0,0,0,0,-0.519,0,0,0.438,0,0,2.482,9.238,0,0,0.285,30.184,1694.9487,-4.08,-4.1,-4.12,-4.13,-4.05,-4.08
27,1.002,5.62,3.3101,-3.3101,1.1866,4.617,0.2166,-5.62,-1.002,2.5383,1.2258,3.7641,3.1725,1143.29,-4.06,33,16,15,4626.8,-2.892,-1.049,0,-2.735,0,0,0,-0.166,0.256,-2.63,-6.018,0,0,0,0,0,0,0,0.236,0,0,0.439,0,0,2.483,6.964,1,0,0.285,9.818,974.73,0.338,0.072,-0.024,0.01,0.485,0.341
28,0.824,5.39,3.1067,-3.1067,1.0571,4.565,0.2191,-5.39,-0.824,2.3244,1.0754,3.3998,3.4025,1143.29,-4.06,33,16,15,4626.8,-2.892,-1.049,0,-2.735,0,0,0,-0.166,0.256,-2.63,-6.018,0,0,0,0,0,0,0,0.236,0,0,0.439,0,0,2.483,6.964,1,0,0.285,9.818,974.73,0.338,0.072,-0.024,0.01,0.485,0.341
29,1.733,6.24,3.986,-3.986,1.763,4.507,0.2219,-6.24,-1.733,5.8,1.814,7.614,2.5525,473.66,4.43,11,7,3,98.73,-3.383,0.381,47.847,-2.733,1,0,0,-0.683,0.491,-0.555,-2.766,0,1,0,0,0,0,0,-0.442,0,0,-0.038,0,0,2.481,1.256,1,0,0.286,3.341,479.94,0.43,0.15,-0.12,0.19,0.68,0.42
30,2.838,7.051,4.945,-4.945,2.902,4.212,0.2374,-7.051,-2.838,8.54,3.595,12.135,1.7415,392.46,-1.10623,11,5,7,163.104,-2.864,-0.537,11.604,-2.735,1,0,0,-1.052,0.522,-1.489,-4.304,0,0,0,0,0,0,0,0.697,0,0,0.853,0,0,2.451,3.499,1,0,0.285,3.576,365.35,0.42,0.24,0.08,0.08,0.64,0.47
31,3.285,6.223,4.754,-4.754,3.846,2.938,0.3404,-6.223,-3.285,10.252,5.498,15.75,2.5695,399.447,0.5788,9,5,5,168.286,-2.888,-0.454,34.839,-2.735,1,0,0,-1.299,0.381,-0.994,-3.416,0,0,0,0,0,0,0,0.883,0,0,0.63,0,0,2.208,3.101,1,0,0.285,3.936,365.18,0.35,0.18,0.1,0.17,0.67,0.38
32,1.753,6.254,4.003,-4.003,1.78,4.501,0.2222,-6.254,-1.753,5.844,1.84,7.684,2.5385,427.501,1.2149,10,5,5,181.016,-2.922,-0.415,35.899,-2.735,1,0,0,-1.171,0.338,-0.988,-3.354,0,0,0,0,0,0,0,0.712,0,0,0.525,0,0,2.28,3.197,1,0,0.285,3.338,398.57,0.32,0.15,0.07,0.15,0.67,0.36
